document,Snt,Original Sentence,Modified Phrase,Type of Change,Sub-phrase
english_umr-0004,6,Doctors will examine him for signs that the cancer may have come back while he was awaiting trial in a Russian jail.,Doctors will examine him,Change polarity,Doctors will not examine him for signs of cancer.
english_umr-0004,7,A spokeswoman said that Pope was suffering from malnutrition and high blood pressure.,Pope was suffering from malnutrition,Change polarity,A spokeswoman said Pope was healthy with normal pressure.
english_umr-0004,8,"200 dead, 1,500 feared missing in Philippines landslide.","200 dead, 1,500 feared missing",Structural change,"200 dead, 1,500 are confirmed missing in the Philippines landslide"
english_umr-0004,9,"About 200 people were believed killed and 1,500 others were missing in the central Philippines on Friday when a landslide buried an entire village, the Red Cross said.",About 200 people were believed killed,Structural change,"About 200 people survived while 1,500 others were missing"
english_umr-0004,10,"And you watch him pluck a few pears ,",You watch him pluck pears,word deletion,you watch hum pluck a few pears
english_umr-0004,11,and he'd drop them into his thing,he dropped them into his bag,word replacement,and he'd drop them into his thing
english_umr-0004,12,but I don't . . he's wearing like an apron with huge pockets .,he's wearing a shirt,word replacement,he's wearing an apron with huge pockets
english_umr-0004,13,But I don't think you see the apron at first .,but I think you see the apron at first,change polarity,But I don't think you see the apron at first .
english_umr-0004,14,I don't know if that's important or not .,I know if that's important or not,Change polarity,I don't know if that's important or not .
english_umr-0004,15,"A-nd u-h and then he gets down out of the tree ,",he gets down from the tree,replace word,"A-nd u-h and then he gets down out of the tree ,"
english_umr-0004,16,and he dumps all his pears into the basket,the pears are dumped into the basket by hum,Structural change,and he dumps all his pears into the basket
english_umr-0004,17,"and the basket's full ,",the basket;s overflowing,word replacement,"and the basket's full ,"
english_umr-0004,18,"and one of the pears drops down to the floor ,",and all of the pears drop down,word replacement,"and one of the pears drops down to the floor ,"
english_umr-0004,19,"and he picks it up ,",he doesn't pick it up,change polarity,and he picks it up
english_umr-0004,20,"and he takes his kerchief off ,",he takes his necktie off,word replacement,"and he takes his kerchief off ,"
english_umr-0004,21,"and he wipes it off ,",he does not wipe it off,change polarity,and he wipes it off
english_umr-0004,22,and places it in in the basket which is very full .,and places it in the box,word replacement,and places it in in the basket which is very full .
english_umr-0004,23,That's why it fell off in the first place .,Why did it fall off in the first place,structural change,That's why it fell off in the first place .
english_umr-0004,24,"A--nd u--m then he climbs back up the ladder ,",he scurries up the ladder,word replacement,A--nd u--m then he climbs back up the ladder
english_umr-0004,25,and he and he . . starts picking pears again .,he starts picking pairs,word deletion,and he and he . . starts picking pears again .
english_umr-0004,26,"And then while he's up in the ladder,",while he's up the ladder,word deletion,And then while he's up in the ladder
english_umr-0004,27,let's see is it while he's up in the ladder ?,let’s see is it while he's there,word deletion,let's see is it while he's up in the ladder ?
english_umr-0004,28,Or . . or before .,or after,word replacement,Or . . or before .
english_umr-0004,29,"U—m anyway ,",well anyways,word replacement,"U—m anyway ,"
english_umr-0004,30,a guy comes by leading a goat .,a goat is led by a guy,structural change,a guy comes by leading a goat .
english_umr-0004,31,"And the goat's aaarrr but . . and they don't talk to each other ,",they don't speak to each other,word repalcement,and they don't talk to each other
english_umr-0004,32,"they don't e . . I don't think they even look at each other ,",They don't look at each other,word deletion," I don't think they even look at each other ,"
english_umr-0004,33,and . . the guy . . walks by .,the guy does not walk by,Change polarity,and . . the guy . . walks by .
english_umr-0004,34,"And you watch the goat ,",The goat watches you,Structural change,And you watch the goat
english_umr-0004,35,"disappearing all the way ,",vanishing all the way,word replacement,disappearing all the way
english_umr-0004,36,and then then you're back to the man in the tree .,we're back to the man in the tree,word replacement,you're back to the man in the tree
english_umr-0004,37,And he's up there in the tree .,he's not up there in the tree,change polarity,And he's up there in the tree .
english_umr-0004,38,"And then definitely when he's up there ,",and then when he's up there,word replacement,and then definitely when he's up there
english_umr-0004,39,. . a kid comes by on a bicycle .,a kid does not come by on a bicycle,change polarity,a kid comes by on a bicycle
english_umr-0004,40,"From the direction where the goat man left ,",from the direction where the man left,word deletion,from the direction where the man left
english_umr-0004,41,okay ?,well?,word replacement,okay?
english_umr-0004,42,A--nd . . u--m the bicycle's way too big for the kid .,the bicycle is really way too big for the kid,attribute change,the bicycle's way too big for the kid
english_umr-0004,43,I'm giving you all these details .,I wont be giving you all these details,change polarity,I'm giving you all these details .
english_umr-0004,44,I don't know if you want them., you don't know if I want them.,Structural change,I don't know if you want them
english_umr-0004,45, U—m the . . the reason I'm giving you the details is cause I don't know what the point of the movie was.,what's the point of the movie,Structural change,what the point of the movie is
english_umr-0004,47,So maybe you can see {laugh begins} something that {laugh ends} I didn't.,So maybe you can see something,word deletion,So maybe you can see {laugh begins} something that {laugh ends} I didn't.
english_umr-0003,1,Edmund Pope tasted freedom today for the first time in more than eight months .,For the first time in more than five months,attribute change,for the first time in more than eight months
english_umr-0003,2,Pope is the American businessman who was convicted last week on spying charges and sentenced to 20 years in a Russian prison .,He is the businessmand who was convicted,word replacement,Pope is the American businessman who was convicted last week 
english_umr-0003,3,He denied any wrongdoing .,He denied no wrongdoing,attribute change,He denied any wrongdoing .
english_umr-0003,4,Russian President Vladimir Putin pardoned him for health reasons .,He excused him for health reasons,word deletion,Russian President Vladimir Putin pardoned him for health reasons .
english_umr-0003,5,"Pope was flown to the U.S. military base at Ramstein , Germany .",Pope was taken to the base,word replacement,"Pope was flown to the U.S. military base at Ramstein , Germany ."
english_umr-0003,6, He will spend the next several days at the medical center there before he returns home with his wife Sherry .,He will spend time there before returning home,word deletion, He will spend the next several days at the medical center there before he returns home 
english_umr-0003,7,Pope was in remission from a rare form of bone cancer when he was arrested in Russia.,He was in remission from a common type of cancer,word replacement,Pope was in remission from a rare form of bone cancer when he was arrested in Russia.
english_umr-0003,8,Doctors will examine him for signs that the cancer may have come back while he [was] awaiting trial in a Russian jail.,He will be examined for signs that the cancer may have come back,Structural change,Doctors will examine him for signs that the cancer may have come back
english_umr-0003,9,A spokeswoman said that Pope was suffering from malnutrition and high blood pressure .,He had been suffering from these maladies,word replacement,A spokeswoman said that Pope was suffering from malnutrition and high blood pressure .
englihs_umr-0001,1,"200 dead , 1,500 feared missing in Philippines landslide .",People are missing,word replacement,"200 dead , 1,500 feared missing in Philippines landslide ."
englihs_umr-0001,2,"TACLOBAN , Philippines , Feb 17 , 2006 .","February 15th, 2004",word replacement,"Feb 17 , 2006 ."
englihs_umr-0001,3," About 200 people were believed killed and 1,500 others were missing in the central Philippines on Friday when a landslide buried an entire village , the Red Cross said .",a landslide did not bury an entire villiage,attribute change, when a landslide buried an entire village 
englihs_umr-0001,4,Eyewitnesses said only a few houses were left standing after the landslide hit the village of Guinsaugon in the south of the Philippine island of Leyte .,most houses were left standing,attribute change, a few houses were left standing 
englihs_umr-0001,5," "" There are about 1,500 missing , 200 dead , "" Richard Gordon , the head of the Philippine Red Cross , said in a radio interview .",he said in a radio interview,word deletion," Richard Gordon , the head of the Philippine Red Cross , said in a radio interview ."
englihs_umr-0001,6,The first footage from the devastated village showed a sea of mud covering what had been lush green valley farmland .,covering what had not been a famrland,attribute change,covering what had been lush green valley farmland .
englihs_umr-0001,7,Only a few sheets of tin roofing and the occasional coconut tree could be seen .,Only a few trees could be seen,word deletion,Only a few sheets of tin roofing and the occasional coconut tree could be seen .
englihs_umr-0001,8,"Tiny groups of mud - spattered survivors were also shown , walking through the muck , apparently stunned by the scope of the destruction .",spattered survivors were not shown,attribute change, spattered survivors were also shown
englihs_umr-0001,9,"In a televised address to the nation , President Gloria Arroyo said rescue teams were rushing to the area from "" air , land and sea "" to cope with the catastrophe .",She said they were rushing in.,word replacement,"President Gloria Arroyo said rescue teams were rushing to the area from "" air , land and sea "" "
englihs_umr-0001,10,""" I have ordered the Coast Guard and our entire naval force in the ( central Philippines ) region to the area , "" she said .",I have ordered the elite Coast Guard and our complete enture naval force,attriburte change, I have ordered the Coast Guard and our entire naval force
englihs_umr-0001,11,""" Naval ships will be used as floating hospitals and command centres for relief and rescue . """,Naval shis wil not be used as floating hospitals and command centeres,attribute change, Naval ships will be used as floating hospitals and command centres 
